Id                                   Name                                                                                                                                                                                                    
------------------------------------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11111111-1111-1111-1111-111111111112 pos-komputerler                                                                                                                                                                                         
11111111-1111-1111-1111-111111111111 ticaret-avadanliqlari                                                                                                                                                                                   
22222222-2222-2222-2222-222222222223 ofis-komputerleri                                                                                                                                                                                       
33333333-3333-3333-3333-333333333334 ofis-noutbuklari                                                                                                                                                                                        
44444444-4444-4444-4444-444444444445 analoq-kamera-sistemleri                                                                                                                                                                                
44444444-4444-4444-4444-444444444446 analoq-kamera                                                                                                                                                                                           
44444444-4444-4444-4444-444444444449 ip-kamera                                                                                                                                                                                               
44444444-4444-4444-4444-44444444444D surveillance-hdd                                                                                                                                                                                        
55555555-5555-5555-5555-555555555556 monitor                                                                                                                                                                                                 
66666666-6666-6666-6666-666666666667 ups                                                                                                                                                                                                     

(10 rows affected)
